,SOFR
2024-01-02,5.4
2024-01-03,5.39
2024-01-04,5.32
2024-01-05,5.31
2024-01-08,5.31
2024-01-09,5.31
2024-01-10,5.31
2024-01-11,5.31
2024-01-12,5.31
2024-01-16,5.32
2024-01-17,5.32
2024-01-18,5.31
2024-01-19,5.31
2024-01-22,5.31
2024-01-23,5.31
2024-01-24,5.31
2024-01-25,5.32
2024-01-26,5.32
2024-01-29,5.31
2024-01-30,5.31
2024-01-31,5.32
2024-02-01,5.32
2024-02-02,5.32
2024-02-05,5.31
2024-02-06,5.31
2024-02-07,5.31
2024-02-08,5.31
2024-02-09,5.31
2024-02-12,5.31
2024-02-13,5.31
2024-02-14,5.3
2024-02-15,5.31
2024-02-16,5.3
2024-02-20,5.3
2024-02-21,5.3
2024-02-22,5.3
2024-02-23,5.31
2024-02-26,5.31
2024-02-27,5.31
2024-02-28,5.31
2024-02-29,5.32
2024-03-01,5.31
2024-03-04,5.31
2024-03-05,5.31
2024-03-06,5.31
2024-03-07,5.31
2024-03-08,5.31
2024-03-11,5.31
2024-03-12,5.31
2024-03-13,5.31
2024-03-14,5.31
2024-03-15,5.31
2024-03-18,5.31
2024-03-19,5.31
2024-03-20,5.31
2024-03-21,5.31
2024-03-22,5.31
2024-03-25,5.31
2024-03-26,5.32
2024-03-27,5.33
2024-03-28,5.34
2024-04-01,5.35
2024-04-02,5.34
2024-04-03,5.32
2024-04-04,5.32
2024-04-05,5.32
2024-04-08,5.31
2024-04-09,5.31
2024-04-10,5.31
2024-04-11,5.31
2024-04-12,5.31
2024-04-15,5.32
2024-04-16,5.31
2024-04-17,5.31
2024-04-18,5.3
2024-04-19,5.31
2024-04-22,5.31
2024-04-23,5.31
2024-04-24,5.31
2024-04-25,5.31
2024-04-26,5.32
2024-04-29,5.32
2024-04-30,5.34
2024-05-01,5.32
2024-05-02,5.31
2024-05-03,5.31
2024-05-06,5.31
2024-05-07,5.31
2024-05-08,5.31
2024-05-09,5.31
2024-05-10,5.31
2024-05-13,5.31
2024-05-14,5.31
2024-05-15,5.31
2024-05-16,5.31
2024-05-17,5.31
2024-05-20,5.31
2024-05-21,5.31
2024-05-22,5.31
2024-05-23,5.31
2024-05-24,5.32
2024-05-28,5.32
2024-05-29,5.33
2024-05-30,5.33
2024-05-31,5.34
2024-06-03,5.35
2024-06-04,5.33
2024-06-05,5.33
2024-06-06,5.33
2024-06-07,5.33
2024-06-10,5.32
2024-06-11,5.32
2024-06-12,5.31
2024-06-13,5.31
2024-06-14,5.31
2024-06-17,5.33
2024-06-18,5.33
2024-06-20,5.32
2024-06-21,5.31
2024-06-24,5.31
2024-06-25,5.33
2024-06-26,5.34
2024-06-27,5.34
2024-06-28,5.33
2024-07-01,5.4
2024-07-02,5.35
2024-07-03,5.33
2024-07-05,5.32
2024-07-08,5.32
2024-07-09,5.34
2024-07-10,5.34
2024-07-11,5.34
2024-07-12,5.34
2024-07-15,5.34
2024-07-16,5.35
2024-07-17,5.35
2024-07-18,5.34
2024-07-19,5.34
2024-07-22,5.33
2024-07-23,5.34
2024-07-24,5.34
2024-07-25,5.35
2024-07-26,5.35
2024-07-29,5.33
2024-07-30,5.33
2024-07-31,5.38
2024-08-01,5.35
2024-08-02,5.35
2024-08-05,5.32
2024-08-06,5.33
2024-08-07,5.33
2024-08-08,5.34
2024-08-09,5.34
2024-08-12,5.34
2024-08-13,5.34
2024-08-14,5.33
2024-08-15,5.35
2024-08-16,5.32
2024-08-19,5.32
2024-08-20,5.32
2024-08-21,5.31
2024-08-22,5.31
2024-08-23,5.33
2024-08-26,5.34
2024-08-27,5.35
2024-08-28,5.35
2024-08-29,5.33
2024-08-30,5.32
2024-09-03,5.34
2024-09-04,5.35
2024-09-05,5.35
2024-09-06,5.34
2024-09-09,5.34
2024-09-10,5.33
2024-09-11,5.32
2024-09-12,5.33
2024-09-13,5.33
2024-09-16,5.38
2024-09-17,5.38
2024-09-18,5.33
2024-09-19,4.82
2024-09-20,4.83
2024-09-23,4.83
2024-09-24,4.84
2024-09-25,4.84
2024-09-26,4.83
2024-09-27,4.84
2024-09-30,4.96
